name,z,mB,mB_raw
1990af,0.050,36.632,17.723
1990O,0.031,35.532,16.196
1992ae,0.075,37.642,18.392
1992ag,0.026,35.353,16.241
1992aq,0.101,38.437,19.299
1992bc,0.020,34.494,15.086
1992bh,0.045,36.728,17.592
1992bl,0.043,36.276,17.275
1992bo,0.018,34.576,15.753
1992bp,0.079,37.465,18.281
1992br,0.088,38.121,19.398
1992bs,0.063,37.540,18.177
1992P,0.026,35.565,16.037
1993ag,0.050,36.827,17.799
1993B,0.071,37.604,18.377
1993H,0.025,35.192,16.735
1993O,0.053,36.794,17.614
1994M,0.024,35.228,16.205
1994S,0.016,34.071,14.760
1995ac,0.049,36.383,17.026
1995bd,0.016,34.083,15.246
1996ab,0.125,38.885,19.525
1996bl,0.035,35.837,16.611
1996bo,0.016,34.405,15.816
1996bv,0.017,34.319,15.380
1996C,0.030,35.822,16.636
1997dg,0.030,35.994,16.821
1997Y,0.017,34.452,15.284
1998ab,0.028,35.150,16.048
1998dx,0.054,36.606,17.660
1998eg,0.024,35.250,16.089
1998V,0.017,34.216,15.094
1999aw,0.039,36.284,16.732
1999cc,0.032,35.789,16.791
1999ek,0.018,34.489,15.584
1999gp,0.026,35.342,16.005
2000ca,0.025,34.931,15.510
2000cf,0.036,36.113,17.091
2000cn,0.023,35.146,16.544
2000dk,0.016,34.129,15.323
2000fa,0.022,34.941,15.832
2001ba,0.031,35.558,16.182
2001cn,0.015,34.118,15.271
2001cz,0.017,34.162,15.035
SNLS-03D1au,0.504,42.429,22.978
SNLS-03D1aw,0.582,42.881,23.599
SNLS-03D1ax,0.496,42.180,22.957
SNLS-03D1bp,0.346,41.367,22.465
SNLS-03D1cm,0.870,44.095,24.469
SNLS-03D1co,0.679,43.398,24.094
SNLS-03D1ew,0.868,43.871,24.359
SNLS-03D1fc,0.331,40.946,21.800
SNLS-03D1fl,0.688,43.046,23.629
SNLS-03D1fq,0.800,43.490,24.519
SNLS-03D1gt,0.548,42.825,24.119
SNLS-03D3af,0.532,42.592,23.470
SNLS-03D3aw,0.449,41.866,22.552
SNLS-03D3ay,0.371,41.488,22.201
SNLS-03D3ba,0.291,40.999,22.049
SNLS-03D3bh,0.249,40.571,21.132
SNLS-03D3cc,0.463,42.089,22.558
SNLS-03D3cd,0.461,42.031,22.562
SNLS-03D4ag,0.285,40.731,21.237
SNLS-03D4at,0.633,43.133,23.746
SNLS-03D4aud,0.468,42.708,23.856
SNLS-03D4bcd,0.572,43.521,24.596
SNLS-03D4cn,0.818,43.532,24.652
SNLS-03D4cx,0.949,43.507,24.504
SNLS-03D4cy,0.927,44.553,24.718
SNLS-03D4cz,0.695,43.023,24.019
SNLS-03D4dh,0.627,42.746,23.389
SNLS-03D4di,0.905,43.708,24.288
SNLS-03D4dy,0.604,42.515,23.313
SNLS-03D4fd,0.791,43.353,24.212
SNLS-03D4gf,0.581,42.761,23.351
SNLS-03D4gg,0.592,42.562,23.403
SNLS-03D4gl,0.571,42.465,23.269
SNLS-04D1ag,0.557,42.511,23.003
SNLS-04D1aj,0.721,43.209,23.901
SNLS-04D1ak,0.526,42.644,23.631
SNLS-04D2cf,0.369,41.485,22.340
SNLS-04D2fp,0.415,41.772,22.528
SNLS-04D2fs,0.357,41.441,22.422
SNLS-04D2gb,0.430,41.776,22.796
SNLS-04D2gc,0.521,42.439,23.321
SNLS-04D2gp,0.707,43.237,24.151
SNLS-04D2iu,0.691,43.144,24.258
SNLS-04D2ja,0.741,43.427,24.098
SNLS-04D3co,0.620,43.030,23.781
SNLS-04D3cp,0.830,44.414,24.235
SNLS-04D3cy,0.643,43.023,23.798
SNLS-04D3dd,1.010,44.673,25.120
SNLS-04D3df,0.470,42.268,23.465
SNLS-04D3do,0.610,42.796,23.574
SNLS-04D3ez,0.263,40.682,21.678
SNLS-04D3fk,0.358,41.474,22.532
SNLS-04D3fq,0.730,43.287,24.128
SNLS-04D3gt,0.451,42.038,23.235
SNLS-04D3gx,0.910,44.259,24.708
SNLS-04D3hn,0.552,42.461,23.475
SNLS-04D3is,0.710,43.176,24.256
SNLS-04D3ki,0.930,44.430,24.871
SNLS-04D3kr,0.337,41.259,21.967
SNLS-04D3ks,0.752,43.170,23.882
SNLS-04D3lp,0.983,43.941,24.925
SNLS-04D3lu,0.822,43.544,24.342
SNLS-04D3ml,0.950,43.954,24.552
SNLS-04D3nc,0.817,43.652,24.271
SNLS-04D3nh,0.340,41.323,22.137
SNLS-04D3nr,0.960,43.622,24.542
SNLS-04D3ny,0.810,43.691,24.272
SNLS-04D3oe,0.756,43.453,24.069
SNLS-04D4an,0.613,42.961,24.022
SNLS-04D4bk,0.840,43.475,24.314
SNLS-04D4bq,0.550,42.487,23.362
SNLS-04D4dm,0.811,43.950,24.390
SNLS-04D4dw,0.961,44.000,24.566
