name,z,m_B
1997ek,0.863,24.51
1997eq,0.538,23.21
1997ez,0.778,24.29
1998as,0.355,22.72
1998aw,0.440,23.22
1998ax,0.497,23.25
1998ay,0.638,23.86
1998ba,0.430,22.97
1998be,0.644,23.91
1998bi,0.740,23.92
2000fr,0.543,23.07
1995ar,0.465,23.48
1995as,0.498,23.69
1995aw,0.400,22.28
1995ax,0.615,23.21
1995ay,0.480,23.07
1995az,0.450,22.70
1995ba,0.388,22.64
1996cf,0.570,23.31
1996cg,0.490,23.09
1996ci,0.495,22.83
1996cl,0.828,24.53
1996cm,0.450,23.26
1996cn,0.430,23.25
1997F,0.580,23.51
1997H,0.526,23.26
1997I,0.172,20.34
1997N,0.180,20.38
1997O,0.374,23.53
1997P,0.472,23.16
1997Q,0.430,22.61
1997R,0.657,23.89
1997ac,0.320,21.87
1997af,0.579,23.60
1997ai,0.450,22.94
1997aj,0.581,23.24
1997am,0.416,22.58
1997ap,0.830,24.35
